// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
bd_48_738_b;BD+48 738;392,6;;;4414;13.08.2015;BD+48 738 b;;;2011;http://exoplanet.eu/catalog/bd_+48_738_b/;;
bd_49_828_b;BD+49 828;2590;;;4943;05.02.2015;BD+49 828 b;;;2015;http://exoplanet.eu/catalog/bd+49_828/;;
bd_06_1339_b;BD-06 1339;3,8728;;20,1;4324;14.05.2014;BD-06 1339 b;;;2013;http://exoplanet.eu/catalog/bd-061339_b/;;HIP 27803
bd_06_1339_c;BD-06 1339;125,94;;20,1;4324;14.05.2014;BD-06 1339 c;;;2013;http://exoplanet.eu/catalog/bd-061339_c/;;HIP 27803
bd_08_2823_b;BD-08 2823;5,6;;42,09;4746;14.05.2014;BD-08 2823 b;;;2009;http://exoplanet.eu/catalog/bd-082823_b/;;HIP 49067
bd_08_2823_c;BD-08 2823;237,6;;42,09;4746;14.05.2014;BD-08 2823 c;;;2009;http://exoplanet.eu/catalog/bd-082823_c/;;HIP 49067
bd_10_3166_b;BD-10 3166;3,48777;;80;5393;27.08.2014;BD-10 3166 b;;;2000;http://exoplanet.eu/catalog/bd-10_3166_b/;;
bd_11_4672_b;BD-11 4672;1667;;27,3;4475;08.01.2015;BD-11 4672 b;;;2014;http://exoplanet.eu/catalog/bd-11_4672_b/;;HIP 90979
bd_13_2130_b;BD-13 2130;714,3;;766;;14.05.2015;BD-13 2130 b;;;2007;http://exoplanet.eu/catalog/ngc_2423_3_b/;;
bd_17_63_b;BD-17 63;655,6;;37,54;4714;14.05.2014;BD-17 63 b;;;2008;http://exoplanet.eu/catalog/bd-17_63_b/;;HIP 2247
cfbdsir_j145829_101343_b;CFBDSIR J145829+101343;10037,5;;23,1;580,5;14.05.2014;CFBDSIR J145829+101343 b;3337,1;;2011;http://exoplanet.eu/catalog/cfbds_1458_b/;;
chxr_73_b;CHXR 73;;;;;14.05.2014;CHXR 73 b;3994,486;;2006;http://exoplanet.eu/catalog/chxr_73_b/;;
ct_cha_b;CT Cha;;;165;;14.05.2014;CT Cha b;5403;24,66;2007;http://exoplanet.eu/catalog/ct_cha_b/;;
