// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
kepler_206_d;Kepler-206;23,44281;;;5764;14.05.2014;Kepler-206 d;;1,19;2014;http://exoplanet.eu/catalog/kepler-206_d/;;
kepler_207_b;Kepler-207;1,611865;;;5920;14.05.2014;Kepler-207 b;;1,57;2014;http://exoplanet.eu/catalog/kepler-207_b/;;
kepler_207_c;Kepler-207;3,071571;;;5920;14.05.2014;Kepler-207 c;;1,5;2014;http://exoplanet.eu/catalog/kepler-207_c/;;
kepler_207_d;Kepler-207;5,868075;;;5920;14.05.2014;Kepler-207 d;;3,31;2014;http://exoplanet.eu/catalog/kepler-207_d/;;
kepler_208_b;Kepler-208;4,22864;;;6092;14.05.2014;Kepler-208 b;;1,63;2014;http://exoplanet.eu/catalog/kepler-208_b/;;
kepler_208_c;Kepler-208;7,466623;;;6092;14.05.2014;Kepler-208 c;;1,39;2014;http://exoplanet.eu/catalog/kepler-208_c/;;
kepler_208_d;Kepler-208;11,131786;;;6092;14.05.2014;Kepler-208 d;;1,2;2014;http://exoplanet.eu/catalog/kepler-208_d/;;
kepler_208_e;Kepler-208;16,259458;;;6092;14.05.2014;Kepler-208 e;;1,48;2014;http://exoplanet.eu/catalog/kepler-208_e/;;
kepler_209_b;Kepler-209;16,087845;;;5513;14.05.2014;Kepler-209 b;;2,26;2014;http://exoplanet.eu/catalog/kepler-209_b/;;
kepler_209_c;Kepler-209;41,749882;;;5513;14.05.2014;Kepler-209 c;;3,1;2014;http://exoplanet.eu/catalog/kepler-209_c/;;
kepler_21_b;Kepler-21;2,78578;6,4;113;6305;06.10.2016;Kepler-21 b;5,08;1,639;2012;http://exoplanet.eu/catalog/kepler-21_b/;HD 179070;HIP 94112
kepler_210_b;Kepler-210;2,453234;;;4559;14.05.2014;Kepler-210 b;;2,94;2014;http://exoplanet.eu/catalog/kepler-210_b/;;
kepler_210_c;Kepler-210;7,972513;;;4559;14.05.2014;Kepler-210 c;;3,62;2014;http://exoplanet.eu/catalog/kepler-210_c/;;
kepler_211_b;Kepler-211;4,138575;;;5123;14.05.2014;Kepler-211 b;;1,26;2014;http://exoplanet.eu/catalog/kepler-211_b/;;
kepler_211_c;Kepler-211;6,04045;;;5123;14.05.2014;Kepler-211 c;;1,29;2014;http://exoplanet.eu/catalog/kepler-211_c/;;
kepler_212_b;Kepler-212;16,257582;;;5852;14.05.2014;Kepler-212 b;;1,09;2014;http://exoplanet.eu/catalog/kepler-212_b/;;
kepler_212_c;Kepler-212;31,805174;;;5852;14.05.2014;Kepler-212 c;;2,74;2014;http://exoplanet.eu/catalog/kepler-212_c/;;
kepler_213_b;Kepler-213;2,46236;;;5696;14.05.2014;Kepler-213 b;;1,62;2014;http://exoplanet.eu/catalog/kepler-213_b/;;
kepler_213_c;Kepler-213;4,822962;;;5696;14.05.2014;Kepler-213 c;;2,34;2014;http://exoplanet.eu/catalog/kepler-213_c/;;
kepler_214_b;Kepler-214;15,660544;;;6169;14.05.2014;Kepler-214 b;;2,61;2014;http://exoplanet.eu/catalog/kepler-214_b/;;
kepler_214_c;Kepler-214;28,7798;;;6169;14.05.2014;Kepler-214 c;;2,13;2014;http://exoplanet.eu/catalog/kepler-214_c/;;
kepler_215_b;Kepler-215;9,360672;;;5739;14.05.2014;Kepler-215 b;;1,62;2014;http://exoplanet.eu/catalog/kepler-215_b/;;
kepler_215_c;Kepler-215;14,667108;;;5739;14.05.2014;Kepler-215 c;;1,77;2014;http://exoplanet.eu/catalog/kepler-215_c/;;
kepler_215_d;Kepler-215;30,864423;;;5739;14.05.2014;Kepler-215 d;;2,39;2014;http://exoplanet.eu/catalog/kepler-215_d/;;
kepler_215_e;Kepler-215;68,16101;;;5739;14.05.2014;Kepler-215 e;;1,75;2014;http://exoplanet.eu/catalog/kepler-215_e/;;
kepler_216_b;Kepler-216;7,693641;;;6091;14.05.2014;Kepler-216 b;;2,35;2014;http://exoplanet.eu/catalog/kepler-216_b/;;
kepler_216_c;Kepler-216;17,406669;;;6091;14.05.2014;Kepler-216 c;;3,04;2014;http://exoplanet.eu/catalog/kepler-216_c/;;
kepler_217_b;Kepler-217;5,374943;;;6171;14.05.2014;Kepler-217 b;;2,23;2014;http://exoplanet.eu/catalog/kepler-217_b/;;
kepler_217_c;Kepler-217;8,586004;;;6171;14.05.2014;Kepler-217 c;;1,85;2014;http://exoplanet.eu/catalog/kepler-217_c/;;
kepler_217_d;Kepler-217;3,88689525;;;6171;10.05.2016;Kepler-217 d;;1,32;2016;http://exoplanet.eu/catalog/kepler-217_d/;;
kepler_218_b;Kepler-218;3,619337;;;5502;14.05.2014;Kepler-218 b;;1,48;2014;http://exoplanet.eu/catalog/kepler-218_b/;;
kepler_218_c;Kepler-218;44,699576;;;5502;14.05.2014;Kepler-218 c;;3,14;2014;http://exoplanet.eu/catalog/kepler-218_c/;;
kepler_218_d;Kepler-218;124,5244647;;;5502;10.05.2016;Kepler-218 d;;2,66;2016;http://exoplanet.eu/catalog/kepler-218_d/;;
kepler_219_b;Kepler-219;4,585512;;;5786;14.05.2014;Kepler-219 b;;2,95;2014;http://exoplanet.eu/catalog/kepler-219_b/;;
kepler_219_c;Kepler-219;22,714613;;;5786;14.05.2014;Kepler-219 c;;3,58;2014;http://exoplanet.eu/catalog/kepler-219_c/;;
kepler_219_d;Kepler-219;47,903645;;;5786;14.05.2014;Kepler-219 d;;2,81;2014;http://exoplanet.eu/catalog/kepler-219_d/;;
kepler_22_b;Kepler-22;289,8623;14,7;190;5518;14.05.2014;Kepler-22 b;36;2,38;2011;http://exoplanet.eu/catalog/kepler-22_b/;;
kepler_220_b;Kepler-220;4,159807;;;4632;14.05.2014;Kepler-220 b;;0,81;2014;http://exoplanet.eu/catalog/kepler-220_b/;;
kepler_220_c;Kepler-220;9,034199;;;4632;14.05.2014;Kepler-220 c;;1,57;2014;http://exoplanet.eu/catalog/kepler-220_c/;;
kepler_220_d;Kepler-220;28,122397;;;4632;14.05.2014;Kepler-220 d;;0,98;2014;http://exoplanet.eu/catalog/kepler-220_d/;;
kepler_220_e;Kepler-220;45,902733;;;4632;14.05.2014;Kepler-220 e;;1,33;2014;http://exoplanet.eu/catalog/kepler-220_e/;;
kepler_221_b;Kepler-221;2,795906;;;5243;14.05.2014;Kepler-221 b;;1,71;2014;http://exoplanet.eu/catalog/kepler-221_b/;;
kepler_221_c;Kepler-221;5,690586;;;5243;14.05.2014;Kepler-221 c;;2,93;2014;http://exoplanet.eu/catalog/kepler-221_c/;;
kepler_221_d;Kepler-221;10,04156;;;5243;14.05.2014;Kepler-221 d;;2,73;2014;http://exoplanet.eu/catalog/kepler-221_d/;;
kepler_221_e;Kepler-221;18,369917;;;5243;14.05.2014;Kepler-221 e;;2,63;2014;http://exoplanet.eu/catalog/kepler-221_e/;;
kepler_222_b;Kepler-222;3,936981;;;5433;14.05.2014;Kepler-222 b;;3,16;2014;http://exoplanet.eu/catalog/kepler-222_b/;;
kepler_222_c;Kepler-222;10,08881;;;5433;14.05.2014;Kepler-222 c;;4,64;2014;http://exoplanet.eu/catalog/kepler-222_c/;;
kepler_222_d;Kepler-222;28,081912;;;5433;14.05.2014;Kepler-222 d;;3,69;2014;http://exoplanet.eu/catalog/kepler-222_d/;;
kepler_223_b;Kepler-223;7,38449;1,54;;;04.08.2016;Kepler-223 b;7,4;2,99;2014;http://exoplanet.eu/catalog/kepler-223_b/;;
kepler_223_c;Kepler-223;9,84564;0,71;;;04.08.2016;Kepler-223 c;5,1;3,44;2014;http://exoplanet.eu/catalog/kepler-223_c/;;
kepler_223_d;Kepler-223;14,78869;0,31;;;04.08.2016;Kepler-223 d;8;5,24;2014;http://exoplanet.eu/catalog/kepler-223_d/;;
kepler_223_e;Kepler-223;19,72567;0,28;;;04.08.2016;Kepler-223 e;4,8;4,6;2014;http://exoplanet.eu/catalog/kepler-223_e/;;
kepler_224_b;Kepler-224;3,132924;;;5018;14.05.2014;Kepler-224 b;;1,39;2014;http://exoplanet.eu/catalog/kepler-224_b/;;
kepler_224_c;Kepler-224;5,925003;;;5018;14.05.2014;Kepler-224 c;;3,12;2014;http://exoplanet.eu/catalog/kepler-224_c/;;
kepler_224_d;Kepler-224;11,349393;;;5018;14.05.2014;Kepler-224 d;;2,3;2014;http://exoplanet.eu/catalog/kepler-224_d/;;
kepler_224_e;Kepler-224;18,643577;;;5018;14.05.2014;Kepler-224 e;;1,97;2014;http://exoplanet.eu/catalog/kepler-224_e/;;
kepler_225_b;Kepler-225;6,738975;;;3682;14.05.2014;Kepler-225 b;;1,2;2014;http://exoplanet.eu/catalog/kepler-225_b/;;
kepler_225_c;Kepler-225;18,794234;;;3682;14.05.2014;Kepler-225 c;;1,84;2014;http://exoplanet.eu/catalog/kepler-225_c/;;
kepler_226_b;Kepler-226;3,940997;;;5571;14.05.2014;Kepler-226 b;;1,55;2014;http://exoplanet.eu/catalog/kepler-226_b/;;
kepler_226_c;Kepler-226;5,349555;;;5571;14.05.2014;Kepler-226 c;;2,27;2014;http://exoplanet.eu/catalog/kepler-226_c/;;
kepler_226_d;Kepler-226;8,109044;;;5571;14.05.2014;Kepler-226 d;;1,22;2014;http://exoplanet.eu/catalog/kepler-226_d/;;
kepler_227_b;Kepler-227;9,488015;;;5854;14.05.2014;Kepler-227 b;;3,11;2014;http://exoplanet.eu/catalog/kepler-227_b/;;
kepler_227_c;Kepler-227;54,418694;;;5854;14.05.2014;Kepler-227 c;;3,04;2014;http://exoplanet.eu/catalog/kepler-227_c/;;
kepler_228_b;Kepler-228;2,566546;;;6043;14.05.2014;Kepler-228 b;;1,53;2014;http://exoplanet.eu/catalog/kepler-228_b/;;
kepler_228_c;Kepler-228;4,134444;;;6043;14.05.2014;Kepler-228 c;;2,7;2014;http://exoplanet.eu/catalog/kepler-228_c/;;
kepler_228_d;Kepler-228;11,094286;;;6043;14.05.2014;Kepler-228 d;;4,04;2014;http://exoplanet.eu/catalog/kepler-228_d/;;
kepler_229_b;Kepler-229;6,252972;;;5120;14.05.2014;Kepler-229 b;;2,2;2014;http://exoplanet.eu/catalog/kepler-229_b/;;
kepler_229_c;Kepler-229;16,068638;;;5120;14.05.2014;Kepler-229 c;;4,92;2014;http://exoplanet.eu/catalog/kepler-229_c/;;
kepler_229_d;Kepler-229;41,194912;;;5120;14.05.2014;Kepler-229 d;;3,85;2014;http://exoplanet.eu/catalog/kepler-229_d/;;
kepler_23_b;Kepler-23;7,1073;;800;5828;14.05.2014;Kepler-23 b;254,3;1,9;2011;http://exoplanet.eu/catalog/kepler-23_b/;;
kepler_23_c;Kepler-23;10,7421;;800;5828;14.05.2014;Kepler-23 c;858,1;3,2;2011;http://exoplanet.eu/catalog/kepler-23_c/;;
kepler_23_d;Kepler-23;15,274299;;800;5828;14.05.2014;Kepler-23 d;;2,2;2014;http://exoplanet.eu/catalog/kepler-23_d/;;
kepler_230_b;Kepler-230;32,625555;;;5588;14.05.2014;Kepler-230 b;;4,26;2014;http://exoplanet.eu/catalog/kepler-230_b/;;
kepler_230_c;Kepler-230;91,773242;;;5588;14.05.2014;Kepler-230 c;;2,04;2014;http://exoplanet.eu/catalog/kepler-230_c/;;
kepler_231_b;Kepler-231;10,065275;;;3767;14.05.2014;Kepler-231 b;;1,73;2014;http://exoplanet.eu/catalog/kepler-231_b/;;
kepler_231_c;Kepler-231;19,271566;;;3767;14.05.2014;Kepler-231 c;;1,93;2014;http://exoplanet.eu/catalog/kepler-231_c/;;
kepler_232_b;Kepler-232;4,431222;;;5847;14.05.2014;Kepler-232 b;;3,08;2014;http://exoplanet.eu/catalog/kepler-232_b/;;
kepler_232_c;Kepler-232;11,379349;;;5847;14.05.2014;Kepler-232 c;;3,83;2014;http://exoplanet.eu/catalog/kepler-232_c/;;
kepler_233_b;Kepler-233;8,472382;;;5360;14.05.2014;Kepler-233 b;;2,43;2014;http://exoplanet.eu/catalog/kepler-233_b/;;
kepler_233_c;Kepler-233;60,418955;;;5360;14.05.2014;Kepler-233 c;;2,71;2014;http://exoplanet.eu/catalog/kepler-233_c/;;
kepler_234_b;Kepler-234;2,711506;;;6224;14.05.2014;Kepler-234 b;;3,7;2014;http://exoplanet.eu/catalog/kepler-234_b/;;
kepler_234_c;Kepler-234;7,21205;;;6224;14.05.2014;Kepler-234 c;;3,51;2014;http://exoplanet.eu/catalog/kepler-234_c/;;
kepler_235_b;Kepler-235;3,340222;;;4255;14.05.2014;Kepler-235 b;;2,23;2014;http://exoplanet.eu/catalog/kepler-235_b/;;
kepler_235_c;Kepler-235;7,824904;;;4255;14.05.2014;Kepler-235 c;;1,28;2014;http://exoplanet.eu/catalog/kepler-235_c/;;
kepler_235_d;Kepler-235;20,060548;;;4255;14.05.2014;Kepler-235 d;;2,05;2014;http://exoplanet.eu/catalog/kepler-235_d/;;
kepler_235_e;Kepler-235;46,183669;;;4255;14.05.2014;Kepler-235 e;;2,22;2014;http://exoplanet.eu/catalog/kepler-235_e/;;
kepler_236_b;Kepler-236;8,295611;;;3750;14.05.2014;Kepler-236 b;;1,57;2014;http://exoplanet.eu/catalog/kepler-236_b/;;
kepler_236_c;Kepler-236;23,968127;;;3750;14.05.2014;Kepler-236 c;;2;2014;http://exoplanet.eu/catalog/kepler-236_c/;;
kepler_237_b;Kepler-237;4,715106;;;4861;14.05.2014;Kepler-237 b;;1,41;2014;http://exoplanet.eu/catalog/kepler-237_b/;;
kepler_237_c;Kepler-237;8,103636;;;4861;14.05.2014;Kepler-237 c;;2,08;2014;http://exoplanet.eu/catalog/kepler-237_c/;;
kepler_238_b;Kepler-238;2,090876;;;5751;14.05.2014;Kepler-238 b;;1,73;2014;http://exoplanet.eu/catalog/kepler-238_b/;;
kepler_238_c;Kepler-238;6,155557;;;5751;14.05.2014;Kepler-238 c;;2,39;2014;http://exoplanet.eu/catalog/kepler-238_c/;;
kepler_238_d;Kepler-238;13,233549;;;5751;14.05.2014;Kepler-238 d;;3,07;2014;http://exoplanet.eu/catalog/kepler-238_d/;;
kepler_238_e;Kepler-238;23,654;;;5751;14.05.2014;Kepler-238 e;169,7;5,6;2013;http://exoplanet.eu/catalog/kepler-238_e/;;
kepler_238_f;Kepler-238;50,447;;;5751;14.05.2014;Kepler-238 f;13,5;2;2013;http://exoplanet.eu/catalog/kepler-238_f/;;
kepler_239_b;Kepler-239;11,763051;;;4914;14.05.2014;Kepler-239 b;;2,33;2014;http://exoplanet.eu/catalog/kepler-239_b/;;
kepler_239_c;Kepler-239;56,228098;;;4914;14.05.2014;Kepler-239 c;;2,51;2014;http://exoplanet.eu/catalog/kepler-239_c/;;
kepler_24_b;Kepler-24;8,1453;;1200;5897;14.05.2014;Kepler-24 b;508,5;2,4;2011;http://exoplanet.eu/catalog/kepler-24_b/;;
kepler_24_c;Kepler-24;12,3335;;1200;5897;14.05.2014;Kepler-24 c;508,5;2,8;2011;http://exoplanet.eu/catalog/kepler-24_c/;;
kepler_24_d;Kepler-24;4,244384;;1200;5897;14.05.2014;Kepler-24 d;;1,67;2014;http://exoplanet.eu/catalog/kepler-24_d/;;
kepler_24_e;Kepler-24;18,998355;;1200;5897;14.05.2014;Kepler-24 e;;2,78;2014;http://exoplanet.eu/catalog/kepler-24_e/;;
kepler_240_b;Kepler-240;4,144495;;;4985;14.05.2014;Kepler-240 b;;1,37;2014;http://exoplanet.eu/catalog/kepler-240_b/;;
kepler_240_c;Kepler-240;7,953528;;;4985;14.05.2014;Kepler-240 c;;2,2;2014;http://exoplanet.eu/catalog/kepler-240_c/;;
kepler_241_b;Kepler-241;12,718092;;;4699;14.05.2014;Kepler-241 b;;2,33;2014;http://exoplanet.eu/catalog/kepler-241_b/;;
kepler_241_c;Kepler-241;36,065978;;;4699;14.05.2014;Kepler-241 c;;2,57;2014;http://exoplanet.eu/catalog/kepler-241_c/;;
kepler_242_b;Kepler-242;8,20395;;;5020;14.05.2014;Kepler-242 b;;2,61;2014;http://exoplanet.eu/catalog/kepler-242_b/;;
kepler_242_c;Kepler-242;14,496481;;;5020;14.05.2014;Kepler-242 c;;2;2014;http://exoplanet.eu/catalog/kepler-242_c/;;
kepler_243_b;Kepler-243;5,715442;;;5228;14.05.2014;Kepler-243 b;;2,45;2014;http://exoplanet.eu/catalog/kepler-243_b/;;
kepler_243_c;Kepler-243;20,026218;;;5228;14.05.2014;Kepler-243 c;;1,99;2014;http://exoplanet.eu/catalog/kepler-243_c/;;
kepler_244_b;Kepler-244;4,311792;;;5554;14.05.2014;Kepler-244 b;;2,76;2014;http://exoplanet.eu/catalog/kepler-244_b/;;
kepler_244_c;Kepler-244;9,767292;;;5554;14.05.2014;Kepler-244 c;;2,05;2014;http://exoplanet.eu/catalog/kepler-244_c/;;
kepler_244_d;Kepler-244;20,050401;;;5554;14.05.2014;Kepler-244 d;;2,31;2014;http://exoplanet.eu/catalog/kepler-244_d/;;
kepler_245_b;Kepler-245;7,49019;;;5100;14.05.2014;Kepler-245 b;;2,57;2014;http://exoplanet.eu/catalog/kepler-245_b/;;
kepler_245_c;Kepler-245;17,460812;;;5100;14.05.2014;Kepler-245 c;;2,18;2014;http://exoplanet.eu/catalog/kepler-245_c/;;
kepler_245_d;Kepler-245;36,277108;;;5100;14.05.2014;Kepler-245 d;;3,03;2014;http://exoplanet.eu/catalog/kepler-245_d/;;
kepler_245_e;Kepler-245;3,21982106;;;5100;10.05.2016;Kepler-245 e;;1,75;2016;http://exoplanet.eu/catalog/kepler-245_e/;;
kepler_246_b;Kepler-246;4,60182;;;5206;14.05.2014;Kepler-246 b;;2,34;2014;http://exoplanet.eu/catalog/kepler-246_b/;;
kepler_246_c;Kepler-246;11,187161;;;5206;14.05.2014;Kepler-246 c;;1,5;2014;http://exoplanet.eu/catalog/kepler-246_c/;;
kepler_247_b;Kepler-247;3,33616;;;5100;14.05.2014;Kepler-247 b;;1,64;2014;http://exoplanet.eu/catalog/kepler-247_b/;;
kepler_247_c;Kepler-247;9,439452;;;5100;14.05.2014;Kepler-247 c;;4,09;2014;http://exoplanet.eu/catalog/kepler-247_c/;;
kepler_247_d;Kepler-247;20,477912;;;5100;14.05.2014;Kepler-247 d;;3,94;2014;http://exoplanet.eu/catalog/kepler-247_d/;;
kepler_248_b;Kepler-248;6,308205;;;5190;14.05.2014;Kepler-248 b;;3,02;2014;http://exoplanet.eu/catalog/kepler-248_b/;;
kepler_248_c;Kepler-248;16,239494;;;5190;14.05.2014;Kepler-248 c;;4,07;2014;http://exoplanet.eu/catalog/kepler-248_c/;;
kepler_249_b;Kepler-249;3,306539;;;3568;14.05.2014;Kepler-249 b;;1,09;2014;http://exoplanet.eu/catalog/kepler-249_b/;;
kepler_249_c;Kepler-249;7,113702;;;3568;14.05.2014;Kepler-249 c;;1,51;2014;http://exoplanet.eu/catalog/kepler-249_c/;;
kepler_249_d;Kepler-249;15,368459;;;3568;14.05.2014;Kepler-249 d;;1,57;2014;http://exoplanet.eu/catalog/kepler-249_d/;;
kepler_25_b;Kepler-25;6,2385;2,5;;6270;27.10.2016;Kepler-25 b;9,6;2,71;2011;http://exoplanet.eu/catalog/kepler-25_b/;;
kepler_25_c;Kepler-25;12,7204;0,9;;6270;27.10.2016;Kepler-25 c;24,6;5,2;2011;http://exoplanet.eu/catalog/kepler-25_c/;;
kepler_25_d;Kepler-25;123;;;6270;14.05.2014;Kepler-25 d;89,9;;2014;http://exoplanet.eu/catalog/kepler-25_d/;;
kepler_250_b;Kepler-250;4,148141;;;5160;14.05.2014;Kepler-250 b;;1,13;2014;http://exoplanet.eu/catalog/kepler-250_b/;;
kepler_250_c;Kepler-250;7,156804;;;5160;14.05.2014;Kepler-250 c;;2,28;2014;http://exoplanet.eu/catalog/kepler-250_c/;;
kepler_250_d;Kepler-250;17,648312;;;5160;14.05.2014;Kepler-250 d;;2,18;2014;http://exoplanet.eu/catalog/kepler-250_d/;;
kepler_251_b;Kepler-251;4,790936;;;5526;14.05.2014;Kepler-251 b;;1,33;2014;http://exoplanet.eu/catalog/kepler-251_b/;;
kepler_251_c;Kepler-251;16,514043;;;5526;14.05.2014;Kepler-251 c;;2,77;2014;http://exoplanet.eu/catalog/kepler-251_c/;;
kepler_251_d;Kepler-251;30,133001;;;5526;14.05.2014;Kepler-251 d;;2,77;2014;http://exoplanet.eu/catalog/kepler-251_d/;;
kepler_251_e;Kepler-251;99,640161;;;5526;14.05.2014;Kepler-251 e;;2,77;2014;http://exoplanet.eu/catalog/kepler-251_e/;;
kepler_252_b;Kepler-252;6,668391;;;4208;14.05.2014;Kepler-252 b;;1,23;2014;http://exoplanet.eu/catalog/kepler-252_b/;;
kepler_252_c;Kepler-252;10,848463;;;4208;14.05.2014;Kepler-252 c;;2,15;2014;http://exoplanet.eu/catalog/kepler-252_c/;;
kepler_253_b;Kepler-253;3,783986;;;5208;14.05.2014;Kepler-253 b;;1,63;2014;http://exoplanet.eu/catalog/kepler-253_b/;;
kepler_253_c;Kepler-253;10,281951;;;5208;14.05.2014;Kepler-253 c;;2,65;2014;http://exoplanet.eu/catalog/kepler-253_c/;;
kepler_253_d;Kepler-253;18,119869;;;5208;14.05.2014;Kepler-253 d;;3,17;2014;http://exoplanet.eu/catalog/kepler-253_d/;;
kepler_254_b;Kepler-254;5,826662;;;5957;14.05.2014;Kepler-254 b;;3,87;2014;http://exoplanet.eu/catalog/kepler-254_b/;;
kepler_254_c;Kepler-254;12,412183;;;5957;14.05.2014;Kepler-254 c;;2,15;2014;http://exoplanet.eu/catalog/kepler-254_c/;;
kepler_254_d;Kepler-254;18,746477;;;5957;14.05.2014;Kepler-254 d;;2,5;2014;http://exoplanet.eu/catalog/kepler-254_d/;;
kepler_255_b;Kepler-255;5,714606;;;5573;14.05.2014;Kepler-255 b;;1,55;2014;http://exoplanet.eu/catalog/kepler-255_b/;;
kepler_255_c;Kepler-255;9,946047;;;5573;14.05.2014;Kepler-255 c;;2,99;2014;http://exoplanet.eu/catalog/kepler-255_c/;;
kepler_255_d;Kepler-255;1,04562266;;;5573;10.05.2016;Kepler-255 d;;1,32;2016;http://exoplanet.eu/catalog/kepler-255_d/;;
kepler_256_b;Kepler-256;1,620493;;;5551;14.05.2014;Kepler-256 b;;1,59;2014;http://exoplanet.eu/catalog/kepler-256_b/;;
kepler_256_c;Kepler-256;3,38802;;;5551;14.05.2014;Kepler-256 c;;2,15;2014;http://exoplanet.eu/catalog/kepler-256_c/;;
kepler_256_d;Kepler-256;5,839172;;;5551;14.05.2014;Kepler-256 d;;2,48;2014;http://exoplanet.eu/catalog/kepler-256_d/;;
kepler_256_e;Kepler-256;10,681572;;;5551;14.05.2014;Kepler-256 e;;2,35;2014;http://exoplanet.eu/catalog/kepler-256_e/;;
kepler_257_b;Kepler-257;2,382667;;;5180;14.05.2014;Kepler-257 b;;2,61;2014;http://exoplanet.eu/catalog/kepler-257_b/;;
kepler_257_c;Kepler-257;6,581484;;;5180;14.05.2014;Kepler-257 c;;5,41;2014;http://exoplanet.eu/catalog/kepler-257_c/;;
kepler_257_d;Kepler-257;24,664551;;;5180;14.05.2014;Kepler-257 d;;4,95;2014;http://exoplanet.eu/catalog/kepler-257_d/;;
kepler_258_b;Kepler-258;13,19722;;;4942;14.05.2014;Kepler-258 b;;4,06;2014;http://exoplanet.eu/catalog/kepler-258_b/;;
kepler_258_c;Kepler-258;33,653079;;;4942;14.05.2014;Kepler-258 c;;3,61;2014;http://exoplanet.eu/catalog/kepler-258_c/;;
kepler_259_b;Kepler-259;8,115317;;;5938;14.05.2014;Kepler-259 b;;2,8;2014;http://exoplanet.eu/catalog/kepler-259_b/;;
kepler_259_c;Kepler-259;36,924931;;;5938;14.05.2014;Kepler-259 c;;2,7;2014;http://exoplanet.eu/catalog/kepler-259_c/;;
kepler_26_b;Kepler-26;12,28;1,26;;3914;07.04.2016;Kepler-26 b;5,12;2,78;2011;http://exoplanet.eu/catalog/kepler-26_b/;;
kepler_26_c;Kepler-26;17,2559;1,61;;3914;07.04.2016;Kepler-26 c;6,2;2,72;2011;http://exoplanet.eu/catalog/kepler-26_c/;;
kepler_26_d;Kepler-26;3,543919;;;3914;14.05.2014;Kepler-26 d;;1,07;2014;http://exoplanet.eu/catalog/kepler-26_d/;;
kepler_26_e;Kepler-26;46,827915;;;3914;14.05.2014;Kepler-26 e;;2,41;2014;http://exoplanet.eu/catalog/kepler-26_e/;;
kepler_260_b;Kepler-260;8,187399;;;5250;14.05.2014;Kepler-260 b;;2,01;2014;http://exoplanet.eu/catalog/kepler-260_b/;;
kepler_260_c;Kepler-260;76,050178;;;5250;14.05.2014;Kepler-260 c;;1,74;2014;http://exoplanet.eu/catalog/kepler-260_c/;;
kepler_261_b;Kepler-261;10,381227;;;5098;14.05.2014;Kepler-261 b;;2,18;2014;http://exoplanet.eu/catalog/kepler-261_b/;;
kepler_261_c;Kepler-261;24,570858;;;5098;14.05.2014;Kepler-261 c;;2;2014;http://exoplanet.eu/catalog/kepler-261_c/;;
kepler_262_b;Kepler-262;13,060855;;;5841;14.05.2014;Kepler-262 b;;1,36;2014;http://exoplanet.eu/catalog/kepler-262_b/;;
kepler_262_c;Kepler-262;21,853722;;;5841;14.05.2014;Kepler-262 c;;1,64;2014;http://exoplanet.eu/catalog/kepler-262_c/;;
kepler_263_b;Kepler-263;16,568087;;;5265;14.05.2014;Kepler-263 b;;2,67;2014;http://exoplanet.eu/catalog/kepler-263_b/;;
kepler_263_c;Kepler-263;47,332773;;;5265;14.05.2014;Kepler-263 c;;2,47;2014;http://exoplanet.eu/catalog/kepler-263_c/;;
kepler_264_b;Kepler-264;40,806231;;;6158;14.05.2014;Kepler-264 b;;3,33;2014;http://exoplanet.eu/catalog/kepler-264_b/;;
kepler_264_c;Kepler-264;140,101261;;;6158;14.05.2014;Kepler-264 c;;2,83;2014;http://exoplanet.eu/catalog/kepler-264_c/;;
kepler_265_b;Kepler-265;6,846262;;;5835;14.05.2014;Kepler-265 b;;1,86;2014;http://exoplanet.eu/catalog/kepler-265_b/;;
kepler_265_c;Kepler-265;17,028937;;;5835;14.05.2014;Kepler-265 c;;2,63;2014;http://exoplanet.eu/catalog/kepler-265_c/;;
kepler_265_d;Kepler-265;43,130617;;;5835;14.05.2014;Kepler-265 d;;2,49;2014;http://exoplanet.eu/catalog/kepler-265_d/;;
kepler_265_e;Kepler-265;67,831024;;;5835;14.05.2014;Kepler-265 e;;2,59;2014;http://exoplanet.eu/catalog/kepler-265_e/;;
kepler_266_b;Kepler-266;6,61833;;;5885;14.05.2014;Kepler-266 b;;2,48;2014;http://exoplanet.eu/catalog/kepler-266_b/;;
kepler_266_c;Kepler-266;107,723601;;;5885;14.05.2014;Kepler-266 c;;3,89;2014;http://exoplanet.eu/catalog/kepler-266_c/;;
kepler_267_b;Kepler-267;3,353728;;;4258;14.05.2014;Kepler-267 b;;1,98;2014;http://exoplanet.eu/catalog/kepler-267_b/;;
kepler_267_c;Kepler-267;6,87745;;;4258;14.05.2014;Kepler-267 c;;2,13;2014;http://exoplanet.eu/catalog/kepler-267_c/;;
kepler_267_d;Kepler-267;28,464515;;;4258;14.05.2014;Kepler-267 d;;2,27;2014;http://exoplanet.eu/catalog/kepler-267_d/;;
kepler_268_b;Kepler-268;25,934138;;;6081;14.05.2014;Kepler-268 b;;2,55;2014;http://exoplanet.eu/catalog/kepler-268_b/;;
